competitorname,chocolate,fruity,caramel,peanutyalmondy,nougat,crispedricewafer,hard,bar,pluribus,sugarpercent,pricepercent,winpercent
Smarties candy,0,1,0,0,0,0,1,0,1,0.26699999,0.11599999999999999,45.995827
Snickers,1,0,1,1,1,0,0,1,0,0.546,0.65100002,76.67378199999997
Snickers Crisper,1,0,1,1,0,1,0,1,0,0.60399997,0.65100002,59.529251
Sour Patch Kids,0,1,0,0,0,0,0,0,1,0.06899999799999999,0.11599999999999999,59.863997999999995
Sour Patch Tricksters,0,1,0,0,0,0,0,0,1,0.06899999799999999,0.11599999999999999,52.825947
Starburst,0,1,0,0,0,0,0,0,1,0.15099999,0.22,67.037628
Strawberry bon bons,0,1,0,0,0,0,1,0,1,0.56900001,0.057999998,34.578990999999995
Sugar Babies,0,0,1,0,0,0,0,0,1,0.96499997,0.76700002,33.43755
Sugar Daddy,0,0,1,0,0,0,0,0,0,0.41800001,0.32499999,32.230995
Super Bubble,0,1,0,0,0,0,0,0,0,0.162,0.11599999999999999,27.303865000000002
Swedish Fish,0,1,0,0,0,0,0,0,1,0.60399997,0.755,54.861111
Tootsie Pop,1,1,0,0,0,0,1,0,0,0.60399997,0.32499999,48.982651000000004
Tootsie Roll Juniors,1,0,0,0,0,0,0,0,0,0.31299999,0.51099998,43.068897
Tootsie Roll Midgies,1,0,0,0,0,0,0,0,1,0.17399999,0.011000000000000001,45.736748
Tootsie Roll Snack Bars,1,0,0,0,0,0,0,1,0,0.465,0.32499999,49.653503
Trolli Sour Bites,0,1,0,0,0,0,0,0,1,0.31299999,0.255,47.173229
Twix,1,0,1,0,0,1,0,1,0,0.546,0.90600002,81.642914
Twizzlers,0,1,0,0,0,0,0,0,0,0.22,0.11599999999999999,45.466282
Warheads,0,1,0,0,0,0,1,0,0,0.093000002,0.11599999999999999,39.011897999999995
WelchÕs Fruit Snacks,0,1,0,0,0,0,0,0,1,0.31299999,0.31299999,44.375519
WertherÕs Original Caramel,0,0,1,0,0,0,1,0,0,0.18600000000000005,0.26699999,41.904308
Whoppers,1,0,0,0,0,1,0,0,1,0.87199998,0.84799999,49.524113
